City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sokoni,TZ,75.06,clear sky,-6.4333,39.55,Ujamaa Beach Resort
2,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Meulaboh,ID,81.52,overcast clouds,4.1363,96.1285,Kost Pria
6,Imbituba,BR,64.29,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
7,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
11,Mattru,SL,75.65,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
12,Olinda,BR,73.13,clear sky,-8.0089,-34.8553,Hotel Albergue de Olinda
14,Cherskiy,RU,69.55,overcast clouds,68.75,161.3,Gostinitsa
16,Arrecife,ES,66.27,few clouds,28.963,-13.5477,Hotel Lancelot
17,Pochutla,MX,77.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
18,Rikitea,PF,72.73,broken clouds,-23.1203,-134.9692,Pension Maro'i
20,Nabire,ID,81.93,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
22,Nikolskoye,RU,62.49,scattered clouds,59.7035,30.7861,Tourist House - Sablino
24,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
25,Jamestown,US,65.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
26,Kapaa,US,76.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,San Quintin,MX,68.43,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
31,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Saint-Joseph,RE,73.76,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
35,Sabha,LY,84.04,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
36,Atuona,PF,79.43,light rain,-9.8,-139.0333,Villa Enata
37,Gualaquiza,EC,61.09,light rain,-3.4,-78.55,Hotel Merceditas
38,Half Moon Bay,US,68.45,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
39,Dole,FR,67.01,clear sky,47.0833,5.5,Hôtel Restaurant Campanile Dole
40,Le Port,RE,75.16,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
41,Cayenne,GF,76.08,fog,4.9333,-52.3333,Hôtel Le Dronmi
45,Sola,VU,79.2,overcast clouds,-13.8833,167.55,Leumerus Bungalows
46,Asyut,EG,73.58,few clouds,27.180999999999997,31.1837,Florence Hotel Assiut
49,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
51,Hervey Bay,AU,70.03,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
52,Hilo,US,78.53,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
54,Karratha,AU,71.01,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
60,Faya,SA,70.32,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
61,Kavaratti,IN,84.16,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
64,Saint-Philippe,RE,74.75,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
65,Mastic Beach,US,66.4,mist,40.7668,-72.8521,Brushwood House by Smith Point Beach
66,Puerto Cabezas,NI,77.67,few clouds,14.0351,-83.3888,Cabaña Caribe
67,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
68,Ulladulla,AU,65.3,broken clouds,-35.35,150.4667,Sandpiper Motel
69,Banjar,ID,85.86,broken clouds,-8.19,114.9675,The Hamsa Resort
70,Terme,TR,64.96,few clouds,41.2092,36.9739,OTEL GÜVEN TERME
71,Kentau,KZ,88.66,clear sky,43.5206,68.5094,Homestay Betty's B&B
73,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
75,Lubu,CN,79.88,light rain,23.1742,112.2809,Classic View Hotel
78,Shingu,JP,70.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
79,Acajutla,SV,81.81,few clouds,13.5928,-89.8275,asi es
81,Verkhnevilyuysk,RU,86.02,broken clouds,63.4453,120.3167,Gostinitsa Mila
82,Chicama,PE,65.73,few clouds,-7.8447,-79.1469,Balihai Bungalows
84,Hasaki,JP,71.82,light rain,35.7333,140.8333,Hotel Sunrise Choshi
88,Busselton,AU,65.05,broken clouds,-33.65,115.3333,Observatory Guest House
90,Butaritari,KI,81.84,moderate rain,3.0707,172.7902,Isles Sunset Lodge
91,Innisfail,AU,82.87,scattered clouds,-17.5333,146.0333,Moondarra Motel
92,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
98,Westport,US,68.61,overcast clouds,41.1415,-73.3579,The Westport Inn
100,Bwanga,TZ,65.75,overcast clouds,-3.0308,31.7601,Sulilu Guest house
102,Port Blair,IN,87.48,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
104,Point Pleasant,US,71.71,broken clouds,40.0832,-74.0682,Point Pleasant Manor
105,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
107,Great Falls,US,74.59,clear sky,47.5002,-111.3008,Extended Stay America - Great Falls - Missouri River
109,Khorramshahr,IR,87.75,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
111,Helong,CN,66.9,broken clouds,42.5397,128.9972,Helong Hotel
112,Ixtapa,MX,77.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
113,Bethel,US,67.35,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
115,Bandarbeyla,SO,83.37,overcast clouds,9.4942,50.8122,JABIR HOTEL
116,Mound,US,80.2,broken clouds,44.9366,-93.6661,Sojourn Suites
117,Poum,NC,75.31,scattered clouds,-20.2333,164.0167,Gîte kajeon
120,Buala,SB,84.25,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
122,Namatanai,PG,83.75,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
124,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
125,Arraial Do Cabo,BR,73.15,clear sky,-22.9661,-42.0278,Pousada Porto Praia
126,Linxia,CN,73.8,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
127,Camacha,PT,60.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
128,Maningrida,AU,88.79,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
132,Avarua,CK,76.26,scattered clouds,-21.2078,-159.775,Paradise Inn
133,Mar Del Plata,AR,60.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
134,Kangaba,ML,82.94,broken clouds,11.9333,-8.4167,Hôtel Mandé
135,Erdenet,MN,71.28,clear sky,49.0333,104.0833,Erdenet hotel
136,Balabac,PH,87.28,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
137,Kendari,ID,73.54,overcast clouds,-3.945,122.4989,Hotel Wixel
140,Madang,PG,84.58,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
142,Bida,NG,73.53,overcast clouds,9.0833,6.0167,Royal Suite
143,Saryozek,KZ,83.28,scattered clouds,44.3583,77.9753,Gostinitsa
144,Wukari,NG,72.14,overcast clouds,7.85,9.7833,Elimtop
149,Sinj,HR,62.49,clear sky,43.7036,16.6394,Apartment Ana
151,Devils Lake,US,75.31,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
152,Tuscaloosa,US,71.38,few clouds,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
153,Taksimo,RU,78.76,clear sky,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
