City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,55.56,86,90,2.3,moderate rain
1,Sokoni,TZ,-6.4333,39.55,75.06,75,8,9.33,clear sky
2,Vaini,TO,-21.2,-175.2,71.76,88,75,5.75,broken clouds
3,Kathu,TH,7.9178,98.3332,92.62,76,72,7.02,broken clouds
4,Chuy,UY,-33.6971,-53.4616,51.57,81,18,7.52,few clouds
5,Meulaboh,ID,4.1363,96.1285,81.52,83,95,4.79,overcast clouds
6,Imbituba,BR,-28.24,-48.6703,64.29,92,10,9.48,clear sky
7,Mahebourg,MU,-20.4081,57.7,70.09,94,75,9.22,light rain
8,Albany,US,42.6001,-73.9662,67.95,94,100,2.26,overcast clouds
9,Khatanga,RU,71.9667,102.5,33.91,94,100,9.42,light rain
10,Cape Town,ZA,-33.9258,18.4232,53.11,88,70,4.38,fog
11,Mattru,SL,7.6244,-11.8332,75.65,97,99,1.95,overcast clouds
12,Olinda,BR,-8.0089,-34.8553,73.13,78,0,5.32,clear sky
13,Adrar,MR,20.5022,-10.0711,85.69,28,41,18.72,scattered clouds
14,Cherskiy,RU,68.75,161.3,69.55,23,99,8.63,overcast clouds
15,Bredasdorp,ZA,-34.5322,20.0403,48.27,93,57,1.19,broken clouds
16,Arrecife,ES,28.963,-13.5477,66.27,77,20,10.36,few clouds
17,Pochutla,MX,15.7432,-96.4661,77.83,85,39,2.98,scattered clouds
18,Rikitea,PF,-23.1203,-134.9692,72.73,69,79,13.89,broken clouds
19,Calbuco,CL,-41.768,-73.1273,49.21,90,100,9.08,light rain
20,Nabire,ID,-3.3667,135.4833,81.93,82,81,5.26,broken clouds
21,Lebu,CL,-37.6167,-73.65,54.75,94,100,4.32,overcast clouds
22,Nikolskoye,RU,59.7035,30.7861,62.49,54,47,4.97,scattered clouds
23,Barrow,US,71.2906,-156.7887,32.02,86,90,17.27,overcast clouds
24,Port-Gentil,GA,-0.7193,8.7815,78.76,89,40,6.91,scattered clouds
25,Jamestown,US,42.097,-79.2353,65.52,96,90,1.01,overcast clouds
26,Kapaa,US,22.0752,-159.319,76.98,84,90,1.01,light rain
27,Lata,PT,40.1629,-8.3327,57.81,96,10,3.13,clear sky
28,Severo-Kurilsk,RU,50.6789,156.125,47.08,72,49,6.76,scattered clouds
29,Dikson,RU,73.5069,80.5464,30.72,98,99,14.61,light snow
30,San Quintin,MX,30.4833,-115.95,68.43,86,1,3.96,clear sky
31,Puerto Ayora,EC,-0.7393,-90.3518,73.54,88,63,7.0,broken clouds
32,Saint-Joseph,RE,-21.3667,55.6167,73.76,74,20,13.51,light rain
33,Clyde River,CA,70.4692,-68.5914,28.63,93,90,14.97,light rain
34,Prince Rupert,CA,54.3161,-130.3201,50.09,84,90,9.22,light rain
35,Sabha,LY,27.0377,14.4283,84.04,26,3,9.13,clear sky
36,Atuona,PF,-9.8,-139.0333,79.43,81,23,18.41,light rain
37,Gualaquiza,EC,-3.4,-78.55,61.09,99,32,1.36,light rain
38,Half Moon Bay,US,37.4636,-122.4286,68.45,80,75,5.75,mist
39,Dole,FR,47.0833,5.5,67.01,82,0,2.3,clear sky
40,Le Port,RE,-20.9373,55.2919,75.16,81,4,5.88,clear sky
41,Cayenne,GF,4.9333,-52.3333,76.08,90,90,6.62,fog
42,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,90,12.66,mist
43,Stornoway,GB,58.2093,-6.3865,53.92,82,40,16.11,scattered clouds
44,Port Alfred,ZA,-33.5906,26.891,53.19,72,38,7.16,scattered clouds
45,Sola,VU,-13.8833,167.55,79.2,76,93,14.94,overcast clouds
46,Asyut,EG,27.181,31.1837,73.58,38,17,16.2,few clouds
47,Vuktyl,RU,63.8567,57.3094,57.25,39,3,7.16,clear sky
48,Ushuaia,AR,-54.8,-68.3,24.46,93,0,10.36,clear sky
49,Mount Isa,AU,-20.7333,139.5,71.37,37,33,13.8,scattered clouds
50,Luderitz,NA,-26.6481,15.1594,66.07,41,0,20.31,clear sky
51,Hervey Bay,AU,-25.2986,152.8535,70.03,62,93,4.0,overcast clouds
52,Hilo,US,19.7297,-155.09,78.53,73,1,8.05,clear sky
53,Punta Arenas,CL,-53.15,-70.9167,35.71,93,90,6.55,light rain
54,Karratha,AU,-20.7377,116.8463,71.01,42,98,21.09,overcast clouds
55,Ondjiva,AO,-17.0667,15.7333,44.69,32,0,7.38,clear sky
56,Mataura,NZ,-46.1927,168.8643,49.48,91,61,3.47,broken clouds
57,Krasnoselkup,RU,65.7,82.4667,45.91,41,60,12.59,broken clouds
58,Egvekinot,RU,66.3167,-179.1667,34.07,57,67,6.64,broken clouds
59,Hobart,AU,-42.8794,147.3294,49.86,52,20,1.01,few clouds
60,Faya,SA,18.3851,42.4509,70.32,13,40,7.74,scattered clouds
61,Kavaratti,IN,10.5669,72.642,84.16,76,96,18.12,overcast clouds
62,Port Elizabeth,ZA,-33.918,25.5701,43.09,87,0,2.3,clear sky
63,Kaitangata,NZ,-46.2817,169.8464,53.92,67,52,3.76,broken clouds
64,Saint-Philippe,RE,-21.3585,55.7679,74.75,78,43,15.61,light rain
65,Mastic Beach,US,40.7668,-72.8521,66.4,89,90,1.01,mist
66,Puerto Cabezas,NI,14.0351,-83.3888,77.67,83,23,6.76,few clouds
67,Nhulunbuy,AU,-12.2333,136.7667,83.01,65,75,17.27,broken clouds
68,Ulladulla,AU,-35.35,150.4667,65.3,71,64,14.34,broken clouds
69,Banjar,ID,-8.19,114.9675,85.86,69,77,1.12,broken clouds
70,Terme,TR,41.2092,36.9739,64.96,63,24,2.77,few clouds
71,Kentau,KZ,43.5206,68.5094,88.66,20,0,3.71,clear sky
72,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,6.91,light rain
73,Esperance,AU,-33.8667,121.9,66.04,54,0,12.64,clear sky
74,Castro,BR,-24.7911,-50.0119,56.28,99,51,5.17,broken clouds
75,Lubu,CN,23.1742,112.2809,79.88,86,100,4.38,light rain
76,Tuatapere,NZ,-46.1333,167.6833,49.82,86,74,7.36,broken clouds
77,Thompson,CA,55.7435,-97.8558,53.76,62,90,3.44,overcast clouds
78,Shingu,JP,33.7333,135.9833,70.92,94,100,14.9,overcast clouds
79,Acajutla,SV,13.5928,-89.8275,81.81,81,12,4.0,few clouds
80,Walvis Bay,NA,-22.9575,14.5053,68.95,18,0,21.3,clear sky
81,Verkhnevilyuysk,RU,63.4453,120.3167,86.02,21,74,10.18,broken clouds
82,Chicama,PE,-7.8447,-79.1469,65.73,80,13,4.59,few clouds
83,Yar-Sale,RU,66.8333,70.8333,47.43,52,36,19.06,scattered clouds
84,Hasaki,JP,35.7333,140.8333,71.82,91,100,34.49,light rain
85,Aklavik,CA,68.2191,-135.0107,45.32,93,100,8.05,light rain
86,Hermanus,ZA,-34.4187,19.2345,51.91,71,87,7.07,overcast clouds
87,Novhorodka,UA,48.3651,32.6578,55.51,93,98,13.4,overcast clouds
88,Busselton,AU,-33.65,115.3333,65.05,63,75,14.36,broken clouds
89,Rayagada,IN,19.1667,83.4167,94.6,52,28,2.66,scattered clouds
90,Butaritari,KI,3.0707,172.7902,81.84,78,77,7.11,moderate rain
91,Innisfail,AU,-17.5333,146.0333,82.87,69,29,8.41,scattered clouds
92,Bambous Virieux,MU,-20.3428,57.7575,70.05,94,75,17.47,light rain
93,Bosaso,SO,11.2842,49.1816,91.38,52,0,13.8,clear sky
94,Upernavik,GL,72.7868,-56.1549,30.54,73,54,4.21,broken clouds
95,Bay Roberts,CA,47.5999,-53.2648,56.95,83,100,5.01,overcast clouds
96,Hami,CN,42.8,93.45,95.65,8,73,6.85,broken clouds
97,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,78,22,4.65,few clouds
98,Westport,US,41.1415,-73.3579,68.61,96,90,1.01,overcast clouds
99,East London,ZA,-33.0153,27.9116,52.74,76,0,6.91,clear sky
100,Bwanga,TZ,-3.0308,31.7601,65.75,73,93,3.71,overcast clouds
101,Nome,US,64.5011,-165.4064,36.16,55,75,11.5,broken clouds
102,Port Blair,IN,11.6667,92.75,87.48,65,35,6.82,scattered clouds
103,Fortuna,US,40.5982,-124.1573,56.35,73,90,3.0,overcast clouds
104,Point Pleasant,US,40.0832,-74.0682,71.71,88,75,1.01,broken clouds
105,Kralendijk,BQ,12.15,-68.2667,80.58,78,20,13.8,few clouds
106,Montevideo,UY,-34.8335,-56.1674,53.31,76,0,11.72,clear sky
107,Great Falls,US,47.5002,-111.3008,74.59,55,1,1.01,clear sky
108,Tiksi,RU,71.6872,128.8694,32.31,95,100,5.59,light snow
109,Khorramshahr,IR,30.4397,48.1664,87.75,9,0,20.58,clear sky
110,Hokitika,NZ,-42.7167,170.9667,52.79,77,100,3.8,overcast clouds
111,Helong,CN,42.5397,128.9972,66.9,46,77,14.45,broken clouds
112,Ixtapa,MX,20.7,-105.2,77.23,87,99,5.01,overcast clouds
113,Bethel,US,41.3712,-73.414,67.35,92,100,5.73,overcast clouds
114,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,81,0,13.8,clear sky
115,Bandarbeyla,SO,9.4942,50.8122,83.37,66,100,20.13,overcast clouds
116,Mound,US,44.9366,-93.6661,80.2,70,75,6.87,broken clouds
117,Poum,NC,-20.2333,164.0167,75.31,60,38,8.25,scattered clouds
118,Menongue,AO,-14.6585,17.691,43.48,54,8,4.09,clear sky
119,Gamba,GA,-2.65,10.0,74.55,93,7,4.38,clear sky
120,Buala,SB,-8.145,159.5921,84.25,73,100,7.65,overcast clouds
121,Narsaq,GL,60.9167,-46.05,43.02,76,37,0.92,scattered clouds
122,Namatanai,PG,-3.6667,152.4333,83.75,72,82,5.39,broken clouds
123,Bayangol,RU,50.6977,103.4656,76.41,19,6,4.65,clear sky
124,Carnarvon,AU,-24.8667,113.6333,71.67,49,0,10.36,clear sky
